line,plate,enter,exit,expected,computed,diff,duration_minutes,reason
898,RFL-8953,2025-07-05 20:53,2025-07-05 22:28,120,130,10,95,週末/假日判定差異
915,BQS-1501,2025-07-07 13:19,2025-07-07 14:20,60,90,30,61,費率/矩陣設定差異
923,BXU-8032,2025-07-07 18:43,2025-07-07 23:40,220,230,10,297,取整/單位時間差異
992,BWT-9122,2025-07-13 13:17,2025-07-28 09:09,120,15160,15040,21352,跨日計費切割差異
997,BZN-3163,2025-07-13 16:31,2025-07-14 06:30,520,530,10,839,跨日計費切割差異
1033,RFE-8086,2025-07-16 20:00,2025-07-17 04:07,190,210,20,487,跨日計費切割差異
1036,ASB-3620,2025-07-17 12:47,2025-07-17 13:40,30,60,30,53,費率/矩陣設定差異
1064,AXB-6676,2025-07-20 11:01,2025-07-20 11:32,40,80,40,31,週末/假日判定差異
1112,0212-EP,2025-07-24 13:26,2025-07-24 13:57,30,60,30,31,費率/矩陣設定差異
1132,AJF-3863,2025-07-25 21:46,2025-07-26 03:26,80,90,10,340,跨日計費切割差異
1133,AGU-6566,2025-07-26 11:26,2025-07-26 11:57,40,80,40,31,週末/假日判定差異
1145,BLL-6096,2025-07-26 19:58,2025-07-26 22:49,120,210,90,171,週末/假日判定差異
1154,BPJ-7396,2025-07-27 14:57,2025-07-27 15:58,80,120,40,61,週末/假日判定差異
1190,BZZ-9962,2025-07-30 07:36,2025-07-30 16:46,550,520,-30,550,費率/矩陣設定差異
1196,RFJ-0671,2025-07-31 02:30,2025-08-11 11:00,270,11670,11400,16350,跨日計費切割差異
1197,BBS-9618,2025-07-31 02:30,2025-07-31 09:28,150,120,-30,418,費率/矩陣設定差異
1198,BZN-9962,2025-07-31 07:34,2025-07-31 17:05,580,550,-30,571,費率/矩陣設定差異
1220,AKW-3250,2025-08-01 19:35,2025-08-01 22:31,150,160,10,176,取整/單位時間差異
1224,BEH-7567,2025-08-02 12:35,2025-08-02 13:38,80,120,40,63,週末/假日判定差異
1234,AWL-5878,2025-08-02 18:46,2025-08-02 20:39,120,160,40,113,週末/假日判定差異
1240,BFW-8336,2025-08-03 12:35,2025-08-03 13:06,40,80,40,31,週末/假日判定差異
1241,BZC-0703,2025-08-03 13:03,2025-08-03 13:34,40,80,40,31,週末/假日判定差異
1283,RDD-0073,2025-08-07 21:42,2025-08-08 02:15,70,80,10,273,跨日計費切割差異
1304,BGB-3566,2025-08-09 15:43,2025-08-09 17:14,120,160,40,91,週末/假日判定差異
1305,BBH-5788,2025-08-09 16:50,2025-08-09 17:21,40,80,40,31,週末/假日判定差異
1308,S9-7725,2025-08-09 17:48,2025-08-09 19:50,160,200,40,122,週末/假日判定差異
1354,CAL-5770,2025-08-12 20:29,2025-08-13 09:37,210,310,100,788,跨日計費切割差異
1369,BVU-8278,2025-08-13 20:33,2025-08-13 22:24,90,100,10,111,取整/單位時間差異
1378,AJN-2073,2025-08-14 19:39,2025-08-14 23:38,160,170,10,239,取整/單位時間差異
